onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
13076.283	0.911	correct	learning	LS4	h55_p24_k_down_q4_left.jpg	98
13122.815	1.131	correct	learning	LS4	h54_p47_i_up_left.jpg	97
13169.513	0.999	correct	learning	LS4	h38_p47_i_up_left.jpg	97
13216.045	1.49	correct	learning	LS4	h54_p3_k_up_q2_right.jpg	98
13262.744	1.086	correct	learning	LS4	h27_p8_k_up_q1_left.jpg	98
13309.609	1.144	correct	learning	LS4	h55_p15_i_down_left.jpg	97
13581.795	1.886	correct	control	LS1	h97_p23_k_down_q2_right.jpg	98
13627.66	1.07	correct	control	LS1	h97_p33_i_down_right.jpg	98
13673.524	0.765	correct	control	LS1	h88_p16_i_down_right.jpg	98
13719.389	0.764	correct	control	LS1	h24_p20_i_up_right.jpg	98
13765.254	0.571	correct	control	LS1	h69_p20_i_down_left.jpg	97
13811.118	0.938	correct	control	LS1	h88_p35_k_down_q1_left.jpg	97
13856.983	0.92	correct	control	LS1	h51_p24_k_up_q3_right.jpg	98
13902.848	0.888	correct	control	LS1	h24_p40_k_up_q4_left.jpg	97
13948.713	1.11	correct	control	LS1	h69_p34_k_down_q1_left.jpg	97
13994.577	0.981	correct	control	LS1	h51_p13_i_up_right.jpg	98
14085.639	1.254	correct	control	LS2	h97_p23_k_down_q2_right.jpg	98
14131.504	0.838	correct	control	LS2	h69_p47_i_down_right.jpg	98
14177.536	0.692	correct	control	LS2	h51_p24_k_up_q3_right.jpg	98
14223.4	1.074	incorrect	control	LS2	h51_p17_i_up_left.jpg	98
14269.265	1.266	correct	control	LS2	h24_p48_i_up_right.jpg	98
14315.296	0.88	correct	control	LS2	h88_p35_k_down_q1_left.jpg	97
14361.161	0.784	correct	control	LS2	h97_p35_i_down_left.jpg	97
14407.026	1.07	correct	control	LS2	h69_p34_k_down_q1_left.jpg	97
14453.057	0.908	correct	control	LS2	h24_p40_k_up_q4_left.jpg	97
14499.089	0.97	correct	control	LS2	h88_p2_i_down_right.jpg	98
14590.151	1.131	correct	control	LS3	h69_p20_i_down_left.jpg	97
14636.016	0.667	correct	control	LS3	h24_p40_k_up_q4_left.jpg	97
14681.88	1.129	correct	control	LS3	h69_p34_k_down_q1_left.jpg	97
14727.745	0.857	correct	control	LS3	h51_p24_k_up_q3_right.jpg	98
14773.61	1.159	correct	control	LS3	h88_p16_i_down_right.jpg	98
14819.474	0.823	correct	control	LS3	h51_p13_i_up_right.jpg	98
14865.339	0.55	correct	control	LS3	h97_p33_i_down_right.jpg	98
14911.204	0.741	correct	control	LS3	h24_p20_i_up_right.jpg	98
14957.235	0.675	correct	control	LS3	h97_p23_k_down_q2_right.jpg	98
15003.267	0.753	correct	control	LS3	h88_p35_k_down_q1_left.jpg	97
15094.496	0.913	correct	control	LS4	h51_p17_i_up_left.jpg	97
15140.36	0.816	correct	control	LS4	h88_p2_i_down_right.jpg	98
15186.225	n/a	to late	control	LS4	h24_p48_i_up_right.jpg	n/a
15237.093	0.809	correct	control	LS4	h88_p35_k_down_q1_left.jpg	97
15283.125	n/a	to late	control	LS4	h97_p35_i_down_left.jpg	n/a
15334.16	1.887	correct	control	LS4	h51_p24_k_up_q3_right.jpg	98
15380.024	0.624	correct	control	LS4	h69_p47_i_down_right.jpg	98
15425.889	0.734	correct	control	LS4	h97_p23_k_down_q2_right.jpg	98
15471.754	1.101	correct	control	LS4	h24_p40_k_up_q4_left.jpg	97
15517.618	0.924	correct	control	LS4	h69_p34_k_down_q1_left.jpg	97
15789.304	0.82	incorrect	learning	LS1	h60_p48_i_up_right.jpg	98
15836.169	1.07	correct	learning	LS1	h101_p49_k_down_q2_right.jpg	98
15883.035	1.145	correct	learning	LS1	h30_p14_k_up_q2_right.jpg	98
15929.9	1.012	incorrect	learning	LS1	h84_p47_i_down_right.jpg	98
15976.765	1.47	correct	learning	LS1	h30_p47_i_up_left.jpg	97
16023.464	1.066	correct	learning	LS1	h101_p37_i_down_left.jpg	97
16070.163	1.43	correct	learning	LS1	h60_p49_k_up_q4_left.jpg	98
16116.861	1.825	incorrect	learning	LS1	h95_p37_i_down_left.jpg	98
16163.393	1.294	incorrect	learning	LS1	h84_p8_k_down_q3_right.jpg	97
16209.925	1.114	correct	learning	LS1	h95_p32_k_down_q2_right.jpg	98
16301.821	1.111	correct	learning	LS2	h84_p8_k_down_q3_right.jpg	98
16348.686	1.314	correct	learning	LS2	h30_p11_i_up_left.jpg	97
16395.218	1.119	correct	learning	LS2	h60_p49_k_up_q4_left.jpg	98
16441.75	1.131	correct	learning	LS2	h101_p49_k_down_q2_right.jpg	98
16488.282	0.999	correct	learning	LS2	h95_p31_i_down_right.jpg	97
16534.98	0.851	incorrect	learning	LS2	h101_p21_i_down_left.jpg	98
16581.679	1.453	correct	learning	LS2	h30_p14_k_up_q2_right.jpg	98
16628.378	1.017	incorrect	learning	LS2	h95_p32_k_down_q2_right.jpg	97
16675.076	1.412	correct	learning	LS2	h60_p35_i_up_right.jpg	97
16721.941	1.007	correct	learning	LS2	h84_p34_i_down_left.jpg	97
16813.838	1.196	correct	learning	LS3	h60_p49_k_up_q4_left.jpg	98
16860.369	1.4	incorrect	learning	LS3	h84_p47_i_down_right.jpg	98
16906.901	1.428	correct	learning	LS3	h60_p48_i_up_right.jpg	97
16953.433	1.136	correct	learning	LS3	h95_p37_i_down_left.jpg	97
17000.132	0.828	correct	learning	LS3	h101_p49_k_down_q2_right.jpg	98
17046.663	1.096	correct	learning	LS3	h30_p14_k_up_q2_right.jpg	98
17093.195	1.156	correct	learning	LS3	h101_p37_i_down_left.jpg	97
17139.727	2.015	incorrect	learning	LS3	h95_p32_k_down_q2_right.jpg	97
17186.592	1.115	incorrect	learning	LS3	h30_p47_i_up_left.jpg	98
17233.124	1.127	correct	learning	LS3	h84_p8_k_down_q3_right.jpg	98
17325.187	0.98	correct	learning	LS4	h30_p14_k_up_q2_right.jpg	98
17371.886	1.279	correct	learning	LS4	h101_p21_i_down_left.jpg	97
17418.418	1.211	correct	learning	LS4	h95_p31_i_down_right.jpg	97
17464.949	0.984	correct	learning	LS4	h84_p8_k_down_q3_right.jpg	98
17511.481	1.284	correct	learning	LS4	h60_p35_i_up_right.jpg	97
17558.013	0.928	correct	learning	LS4	h101_p49_k_down_q2_right.jpg	98
17604.712	1.498	correct	learning	LS4	h60_p49_k_up_q4_left.jpg	98
17651.41	0.887	correct	learning	LS4	h84_p34_i_down_left.jpg	97
17698.109	1.218	correct	learning	LS4	h30_p11_i_up_left.jpg	97
17744.807	1.325	correct	learning	LS4	h95_p32_k_down_q2_right.jpg	98
