trial_index	trial_type	block_number	block_type	is_practice	kin_parse_failed	kin_n_samples	duration	path_length	max_velocity	mean_velocity	max_acceleration	mean_acceleration
208	go	7	go_nogo	0	0	52	0.844412	619.918278	2083.798352	734.142304	76246.721818	11618.534400
209	go	7	go_nogo	0	0	40	0.643636	613.136399	3305.567600	952.614179	72280.677834	13122.599737
210	nogo	7	go_nogo	0	0	40	0.644708	577.376173	3064.053687	895.561595	71815.411862	11067.986783
211	go	7	go_nogo	0	0	36	0.577868	613.684109	2460.769441	1061.979373	51267.932633	12194.685702
212	nogo	7	go_nogo	0	0	31	0.493060	491.605862	2389.742248	997.051597	72477.267740	14677.085219
213	go	7	go_nogo	0	0	41	0.661379	569.129545	2681.632177	860.519918	90489.055707	10012.629875
214	go	7	go_nogo	0	0	49	0.792841	606.098935	1640.117850	764.464961	46067.529892	9016.420384
215	go	7	go_nogo	0	0	46	0.744648	658.949197	2927.669087	884.913911	63187.821300	9785.633108
216	go	7	go_nogo	0	0	41	0.660310	588.560134	1934.623577	891.338984	80257.014940	9148.328226
218	go	7	go_nogo	0	0	51	0.826072	600.928662	2246.576718	727.453218	91051.999458	12516.911406
219	go	7	go_nogo	0	0	52	0.842190	629.726864	2136.808354	747.725411	52810.517300	11198.140717
220	go	7	go_nogo	0	0	47	0.761000	575.877034	2108.840948	756.737531	120283.295511	10507.188399
221	go	7	go_nogo	0	0	58	0.942426	598.385048	2005.039501	634.941352	48053.539703	9513.174654
222	nogo	7	go_nogo	0	0	36	0.578430	441.887352	1895.830141	763.942130	95299.626380	11227.632633
223	go	7	go_nogo	0	0	37	0.593342	580.750203	2030.082294	978.778344	88282.754316	11645.191091
224	nogo	7	go_nogo	0	0	38	0.609247	384.621150	1520.207032	631.305879	40323.882380	9004.867712
225	go	7	go_nogo	0	0	45	0.727918	575.055708	2233.813905	790.000671	76233.721639	7976.691045
226	go	7	go_nogo	0	0	51	0.829412	605.989373	2147.737035	730.625365	73547.388076	8028.021708
227	go	7	go_nogo	0	0	47	0.761764	610.869434	2137.430283	801.914496	74572.228113	10036.109236
228	go	7	go_nogo	0	0	38	0.610027	604.036307	2452.784148	990.180438	108902.172061	12942.551452
229	go	7	go_nogo	0	0	36	0.577240	613.742917	2526.899772	1063.237906	115384.956097	16444.601885
230	nogo	7	go_nogo	0	0	37	0.592492	598.540813	3115.766784	1010.209276	68547.619375	14655.677479
231	go	7	go_nogo	0	0	54	0.876275	573.217484	2397.643231	654.152875	82541.904865	12514.340543
232	go	7	go_nogo	0	0	55	0.892845	577.386443	1510.613995	646.681974	41568.726503	7334.371937
233	go	7	go_nogo	0	0	50	0.809960	612.430696	2410.081587	756.124618	98130.301196	9854.974247
234	go	7	go_nogo	0	0	35	0.560846	565.021769	2286.426183	1007.445662	137262.277922	11606.926528
235	nogo	7	go_nogo	0	0	37	0.592249	450.000551	2532.618028	759.816738	93307.151232	11295.699543
236	go	7	go_nogo	0	0	54	0.875650	584.159207	2244.828935	667.115180	64669.695719	9709.085843
237	go	7	go_nogo	0	0	69	1.125241	617.344657	1894.903349	548.633081	47976.922654	6722.263449
238	go	7	go_nogo	0	0	43	0.695145	613.135576	2657.971801	882.025315	115110.357979	19737.002594
239	go	7	go_nogo	0	0	49	0.793950	591.000991	2240.471654	744.380243	94681.638478	13775.469388
240	go	7	go_nogo	0	0	60	0.977413	600.789611	1595.665161	614.673109	43631.631938	8300.536507
241	go	7	go_nogo	0	0	39	0.627777	598.554277	3378.841220	953.451079	88049.757451	14227.226618
242	go	7	go_nogo	0	0	46	0.744535	605.961337	2529.133800	813.878477	75126.861120	10752.963777
243	go	7	go_nogo	0	0	53	0.861117	621.221518	2141.964702	721.413268	46914.465656	9954.070189
244	nogo	7	go_nogo	0	0	37	0.594464	463.562884	2128.423949	779.799759	132441.271933	11303.353715
245	go	7	go_nogo	0	0	74	1.209053	632.092356	1617.259837	522.799630	28235.643129	5456.255697
246	nogo	7	go_nogo	0	0	38	0.611088	382.747914	1661.812985	626.338147	44811.408731	10142.503679
247	go	7	go_nogo	0	0	35	0.560933	611.280065	2683.507784	1089.756128	89202.152874	17437.452328
248	go	7	go_nogo	0	0	54	0.877386	600.542785	2149.300917	684.468477	82951.113148	11679.220576
249	go	7	go_nogo	0	0	56	0.909319	605.577712	1855.600735	665.968758	53217.828127	8297.757611
250	go	7	go_nogo	0	0	52	0.842913	624.088433	1468.122775	740.395100	66178.342512	7743.276021
251	go	7	go_nogo	0	0	56	0.911835	622.377029	2310.814264	682.554217	55924.807686	10114.720704
252	nogo	7	go_nogo	0	0	38	0.610964	469.938572	1870.014832	769.175300	41226.701566	10112.428285
253	nogo	8	go_nogo	0	0	41	0.659888	466.511923	1604.489937	706.956643	77365.666839	8361.119590
254	go	8	go_nogo	0	0	48	0.777493	607.660845	1743.321657	781.564394	66102.627303	8265.789361
255	go	8	go_nogo	0	0	55	0.893083	597.688903	2074.215250	669.242505	51240.724439	8859.589122
256	nogo	8	go_nogo	0	0	36	0.574746	438.331984	2388.441465	762.653653	97855.679445	12011.017601
257	go	8	go_nogo	0	0	55	0.894582	581.644196	1578.818779	650.185155	94963.115861	9793.531421
258	go	8	go_nogo	0	0	47	0.761475	574.081239	1861.171392	753.907273	107240.455408	8617.744348
259	go	8	go_nogo	0	0	46	0.745138	599.842321	2654.921058	805.008254	104224.109258	12420.426528
260	nogo	8	go_nogo	0	0	39	0.628167	509.592453	2709.008338	811.237353	66950.785057	12467.947171
261	go	8	go_nogo	0	0	52	0.841993	588.965220	2285.434747	699.489366	87975.102127	10121.422122
262	nogo	8	go_nogo	0	0	39	0.627523	462.505967	1800.279551	737.034522	44255.268502	10599.669662
263	go	8	go_nogo	0	0	50	0.811601	586.505751	1919.150472	722.652908	69459.532084	8050.823432
264	go	8	go_nogo	0	0	57	0.925727	617.284223	2007.082731	666.810218	46746.636432	10353.014732
265	go	8	go_nogo	0	0	46	0.745373	601.044360	1741.370813	806.367337	40888.837129	9362.640907
266	go	8	go_nogo	0	0	45	0.727850	608.374265	2302.266143	835.851043	94497.604375	12206.459144
267	go	8	go_nogo	0	0	43	0.693711	586.991048	2260.329415	846.160425	80475.091631	11884.510079
268	go	8	go_nogo	0	0	47	0.760623	600.616918	2545.328498	789.637812	96747.748294	11937.545722
269	go	8	go_nogo	0	0	54	0.878061	594.623116	2378.868950	677.199850	54010.383525	10399.430473
