onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
2145.163	7.887	7887.0	learning	LS4	PICTURE_414.jpg	i	n/a
2153.050	8.062	8062.0	learning	LS4	PICTURE_203.jpg	i	n/a
2161.112	8.871	8871.0	learning	LS4	PICTURE_566.jpg	i	n/a
2169.983	6.964	6964.0	learning	LS4	PICTURE_224.jpg	c	n/a
2176.947	7.450	7450.0	learning	LS4	PICTURE_414.jpg	c	n/a
2184.397	10.333	10333.0	learning	LS1	PICTURE_692.jpg	i	n/a
2194.730	10.983	10983.0	learning	LS1	PICTURE_640.jpg	i	n/a
2205.713	8.753	8753.0	learning	LS1	PICTURE_592.jpg	c	n/a
2214.466	10.511	10511.0	learning	LS1	PICTURE_465.jpg	c	n/a
2224.977	15.636	15636.0	learning	LS1	PICTURE_379.jpg	c	n/a
2240.613	10.368	10368.0	learning	LS1	PICTURE_640.jpg	c	n/a
2250.981	15.331	15331.0	learning	LS1	PICTURE_592.jpg	i	n/a
2266.312	13.903	13903.0	learning	LS1	PICTURE_465.jpg	i	n/a
2280.215	10.395	10395.0	learning	LS1	PICTURE_692.jpg	c	n/a
2290.610	13.601	13601.0	learning	LS1	PICTURE_379.jpg	i	n/a
2304.211	7.889	7889.0	learning	LS2	PICTURE_379.jpg	c	n/a
2312.100	11.893	11893.0	learning	LS2	PICTURE_640.jpg	c	n/a
2323.993	11.581	11581.0	learning	LS2	PICTURE_692.jpg	i	n/a
2335.574	8.716	8716.0	learning	LS2	PICTURE_465.jpg	i	n/a
2344.290	7.451	7451.0	learning	LS2	PICTURE_692.jpg	c	n/a
2351.741	8.579	8579.0	learning	LS2	PICTURE_379.jpg	i	n/a
2360.320	12.581	12581.0	learning	LS2	PICTURE_592.jpg	c	n/a
2372.901	7.158	7158.0	learning	LS2	PICTURE_465.jpg	c	n/a
2380.059	9.246	9246.0	learning	LS2	PICTURE_640.jpg	i	n/a
2389.305	8.776	8776.0	learning	LS2	PICTURE_592.jpg	i	n/a
2398.081	7.700	7700.0	learning	LS3	PICTURE_379.jpg	c	n/a
2405.781	9.307	9307.0	learning	LS3	PICTURE_640.jpg	c	n/a
2415.088	6.761	6761.0	learning	LS3	PICTURE_692.jpg	c	n/a
2421.849	9.486	9486.0	learning	LS3	PICTURE_640.jpg	i	n/a
2431.335	7.418	7418.0	learning	LS3	PICTURE_592.jpg	i	n/a
2438.753	7.907	7907.0	learning	LS3	PICTURE_465.jpg	c	n/a
2446.660	10.312	10312.0	learning	LS3	PICTURE_379.jpg	i	n/a
2456.972	11.119	11119.0	learning	LS3	PICTURE_692.jpg	i	n/a
2468.091	8.730	8730.0	learning	LS3	PICTURE_465.jpg	i	n/a
2476.821	7.460	7460.0	learning	LS3	PICTURE_592.jpg	c	n/a
2484.281	11.662	11662.0	learning	LS4	PICTURE_379.jpg	i	n/a
2495.943	8.794	8794.0	learning	LS4	PICTURE_592.jpg	i	n/a
2504.737	8.801	8801.0	learning	LS4	PICTURE_692.jpg	i	n/a
2513.538	6.412	6412.0	learning	LS4	PICTURE_640.jpg	i	n/a
2519.950	7.385	7385.0	learning	LS4	PICTURE_692.jpg	c	n/a
2527.335	9.151	9151.0	learning	LS4	PICTURE_465.jpg	i	n/a
2536.486	7.719	7719.0	learning	LS4	PICTURE_379.jpg	c	n/a
2544.205	7.087	7087.0	learning	LS4	PICTURE_465.jpg	c	n/a
2551.292	6.779	6779.0	learning	LS4	PICTURE_592.jpg	c	n/a
2558.071	6.788	6788.0	learning	LS4	PICTURE_640.jpg	c	n/a
2564.859	16.574	16574.0	learning	LS1	PICTURE_77.jpg	i	n/a
2581.433	9.710	9710.0	learning	LS1	PICTURE_267.jpg	c	n/a
2591.143	10.517	10517.0	learning	LS1	PICTURE_97.jpg	c	n/a
2601.660	10.841	10841.0	learning	LS1	PICTURE_100.jpg	i	n/a
2612.501	9.735	9735.0	learning	LS1	PICTURE_32.jpg	c	n/a
2622.236	12.619	12619.0	learning	LS1	PICTURE_267.jpg	i	n/a
2634.855	17.581	17581.0	learning	LS1	PICTURE_32.jpg	i	n/a
2652.436	8.802	8802.0	learning	LS1	PICTURE_77.jpg	c	n/a
2661.238	8.971	8971.0	learning	LS1	PICTURE_97.jpg	i	n/a
2670.209	13.136	13136.0	learning	LS1	PICTURE_100.jpg	c	n/a
2683.345	12.537	12537.0	learning	LS2	PICTURE_97.jpg	c	n/a
2695.882	9.347	9347.0	learning	LS2	PICTURE_267.jpg	c	n/a
2705.229	16.066	16066.0	learning	LS2	PICTURE_32.jpg	i	n/a
2721.295	7.923	7923.0	learning	LS2	PICTURE_100.jpg	c	n/a
2729.218	6.334	6334.0	learning	LS2	PICTURE_77.jpg	c	n/a
2735.552	5.701	5701.0	learning	LS2	PICTURE_32.jpg	c	n/a
2741.253	8.910	8910.0	learning	LS2	PICTURE_267.jpg	i	n/a
2750.163	6.844	6844.0	learning	LS2	PICTURE_97.jpg	i	n/a
2757.007	7.811	7811.0	learning	LS2	PICTURE_100.jpg	i	n/a
2764.818	7.504	7504.0	learning	LS2	PICTURE_77.jpg	i	n/a
2772.322	8.176	8176.0	learning	LS3	PICTURE_97.jpg	i	n/a
2780.498	6.746	6746.0	learning	LS3	PICTURE_32.jpg	c	n/a
2787.244	11.228	11228.0	learning	LS3	PICTURE_100.jpg	i	n/a
2798.472	8.839	8839.0	learning	LS3	PICTURE_77.jpg	i	n/a
2807.311	8.049	8049.0	learning	LS3	PICTURE_100.jpg	c	n/a
2815.360	8.694	8694.0	learning	LS3	PICTURE_32.jpg	i	n/a
2824.054	7.584	7584.0	learning	LS3	PICTURE_267.jpg	i	n/a
2831.638	6.636	6636.0	learning	LS3	PICTURE_97.jpg	c	n/a
2838.274	7.610	7610.0	learning	LS3	PICTURE_267.jpg	c	n/a
2845.884	6.816	6816.0	learning	LS3	PICTURE_77.jpg	c	n/a
2852.700	10.052	10052.0	learning	LS4	PICTURE_100.jpg	i	n/a
2862.752	11.656	11656.0	learning	LS4	PICTURE_32.jpg	i	n/a
2874.408	8.310	8310.0	learning	LS4	PICTURE_77.jpg	i	n/a
2882.718	6.881	6881.0	learning	LS4	PICTURE_267.jpg	i	n/a
2889.599	6.890	6890.0	learning	LS4	PICTURE_77.jpg	c	n/a
2896.489	8.969	8969.0	learning	LS4	PICTURE_267.jpg	c	n/a
2905.458	9.778	9778.0	learning	LS4	PICTURE_97.jpg	i	n/a
2915.236	6.750	6750.0	learning	LS4	PICTURE_32.jpg	c	n/a
2921.986	6.918	6918.0	learning	LS4	PICTURE_100.jpg	c	n/a
2928.904	6.926	6926.0	learning	LS4	PICTURE_97.jpg	c	n/a
