trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
200	nogo	7	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	n/a	0	no_stop_timeout	0	n/a	0
201	go	7	go_nogo	0	1	1	0.761797	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.761797	1
202	go	7	go_nogo	0	1	1	0.627822	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.627822	1
203	nogo	7	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.476324	1	stopped_early	0	0.476324	1
204	go	7	go_nogo	0	1	1	0.692985	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.692985	1
205	go	7	go_nogo	0	1	1	0.727469	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.727469	1
206	go	7	go_nogo	0	1	1	0.661618	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661618	1
207	go	7	go_nogo	0	1	1	0.711940	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.711940	1
208	go	7	go_nogo	0	1	1	0.710989	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.710989	1
209	go	7	go_nogo	0	1	1	0.644677	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.644677	1
