onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
2746.757	8.628	correct	control	LS3	PICTURE_731.jpg	c	hit
2755.385	9.593	correct	control	LS3	PICTURE_134.jpg	i	correct rejection
2764.978	9.440	correct	control	LS3	PICTURE_731.jpg	i	correct rejection
2774.418	8.517	correct	control	LS4	PICTURE_98.jpg	c	hit
2782.935	12.838	correct	control	LS4	PICTURE_134.jpg	i	correct rejection
2795.773	8.051	correct	control	LS4	PICTURE_731.jpg	i	correct rejection
2803.824	9.014	correct	control	LS4	PICTURE_733.jpg	i	correct rejection
2812.838	8.222	correct	control	LS4	PICTURE_98.jpg	i	correct rejection
2821.060	8.390	correct	control	LS4	PICTURE_645.jpg	i	correct rejection
2829.450	9.832	correct	control	LS4	PICTURE_733.jpg	c	hit
2839.282	9.199	correct	control	LS4	PICTURE_134.jpg	c	hit
2848.481	9.685	correct	control	LS4	PICTURE_645.jpg	c	hit
2858.166	10.812	correct	control	LS4	PICTURE_731.jpg	c	hit
2868.978	14.043	incorrect	learning	LS1	PICTURE_462.jpg	i	false alarm
2883.021	7.656	incorrect	learning	LS1	PICTURE_402.jpg	i	false alarm
2890.677	10.698	correct	learning	LS1	PICTURE_462.jpg	c	hit
2901.375	9.420	correct	learning	LS1	PICTURE_405.jpg	c	hit
2910.795	11.984	incorrect	learning	LS1	PICTURE_21.jpg	c	miss
2922.779	9.117	correct	learning	LS1	PICTURE_400.jpg	c	hit
2931.896	10.558	correct	learning	LS1	PICTURE_21.jpg	i	correct rejection
2942.454	8.971	correct	learning	LS1	PICTURE_405.jpg	i	correct rejection
2951.425	12.651	correct	learning	LS1	PICTURE_400.jpg	i	correct rejection
2964.076	15.215	correct	learning	LS1	PICTURE_402.jpg	c	hit
2979.291	8.537	correct	learning	LS2	PICTURE_21.jpg	c	hit
2987.828	8.701	correct	learning	LS2	PICTURE_402.jpg	c	hit
2996.529	7.910	correct	learning	LS2	PICTURE_405.jpg	i	correct rejection
3004.439	9.356	correct	learning	LS2	PICTURE_400.jpg	i	correct rejection
3013.795	12.879	correct	learning	LS2	PICTURE_21.jpg	i	correct rejection
3026.674	8.095	correct	learning	LS2	PICTURE_402.jpg	i	correct rejection
3034.769	10.018	correct	learning	LS2	PICTURE_462.jpg	c	hit
3044.787	8.109	correct	learning	LS2	PICTURE_400.jpg	c	hit
3052.896	8.757	correct	learning	LS2	PICTURE_462.jpg	i	correct rejection
3061.653	10.360	correct	learning	LS2	PICTURE_405.jpg	c	hit
3072.013	8.160	correct	learning	LS3	PICTURE_402.jpg	c	hit
3080.173	8.006	correct	learning	LS3	PICTURE_400.jpg	i	correct rejection
