onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
1620.907	1.028	correct	learning	LS3	h55_p15_i_down_left.jpg	97
1667.734	0.872	correct	learning	LS3	h95_p37_i_down_left.jpg	97
1759.889	0.82	correct	learning	LS4	h20_p12_i_up_right.jpg	97
1806.716	0.76	correct	learning	LS4	h77_p42_k_down_q1_left.jpg	98
1853.543	0.715	correct	learning	LS4	h20_p53_k_up_q3_right.jpg	98
1900.371	1.166	incorrect	learning	LS4	h54_p3_k_up_q2_right.jpg	97
1947.198	1.074	correct	learning	LS4	h55_p11_i_down_right.jpg	97
1994.025	0.885	correct	learning	LS4	h54_p31_i_up_left.jpg	97
2041.353	1.158	correct	learning	LS4	h95_p31_i_down_right.jpg	97
2088.68	0.856	correct	learning	LS4	h55_p24_k_down_q4_left.jpg	98
2136.007	0.826	correct	learning	LS4	h77_p16_i_down_right.jpg	97
2183.168	1.099	correct	learning	LS4	h95_p32_k_down_q2_right.jpg	98
2456.633	1.038	incorrect	learning	LS1	h60_p48_i_up_right.jpg	98
2503.96	2.255	correct	learning	LS1	h60_p49_k_up_q4_left.jpg	98
2551.121	1.138	incorrect	learning	LS1	h74_p16_k_up_q1_left.jpg	97
2598.281	1.156	correct	learning	LS1	h30_p47_i_up_left.jpg	97
2645.442	1.109	correct	learning	LS1	h74_p48_i_up_right.jpg	97
2692.602	0.887	correct	learning	LS1	h30_p14_k_up_q2_right.jpg	98
2739.596	1.242	incorrect	learning	LS1	h80_p25_i_down_right.jpg	98
2786.59	1.181	incorrect	learning	LS1	h69_p47_i_down_right.jpg	98
2833.418	1.232	correct	learning	LS1	h69_p34_k_down_q1_left.jpg	98
2880.245	0.788	correct	learning	LS1	h80_p30_k_down_q2_right.jpg	98
2972.233	0.945	correct	learning	LS2	h30_p14_k_up_q2_right.jpg	98
3019.061	0.869	correct	learning	LS2	h80_p30_k_down_q2_right.jpg	98
3065.888	0.952	correct	learning	LS2	h60_p49_k_up_q4_left.jpg	98
3112.715	0.956	correct	learning	LS2	h30_p11_i_up_left.jpg	97
3159.876	0.862	incorrect	learning	LS2	h74_p12_i_up_right.jpg	98
3207.203	0.895	correct	learning	LS2	h74_p16_k_up_q1_left.jpg	98
3254.53	1.44	correct	learning	LS2	h69_p34_k_down_q1_left.jpg	98
3301.691	0.947	correct	learning	LS2	h80_p16_i_down_right.jpg	97
3349.018	0.948	correct	learning	LS2	h69_p20_i_down_left.jpg	97
3396.346	0.966	correct	learning	LS2	h60_p35_i_up_right.jpg	97
3488.834	0.881	correct	learning	LS3	h60_p49_k_up_q4_left.jpg	98
3536.161	0.818	correct	learning	LS3	h69_p47_i_down_right.jpg	97
3583.322	0.884	correct	learning	LS3	h30_p47_i_up_left.jpg	97
3630.482	0.807	correct	learning	LS3	h74_p48_i_up_right.jpg	97
3677.809	0.856	correct	learning	LS3	h80_p30_k_down_q2_right.jpg	98
3724.803	0.891	correct	learning	LS3	h30_p14_k_up_q2_right.jpg	98
3771.797	0.686	correct	learning	LS3	h69_p34_k_down_q1_left.jpg	98
3818.791	0.832	correct	learning	LS3	h80_p25_i_down_right.jpg	97
3865.619	0.884	correct	learning	LS3	h60_p48_i_up_right.jpg	97
3912.446	0.695	correct	learning	LS3	h74_p16_k_up_q1_left.jpg	98
4004.434	0.693	correct	learning	LS4	h74_p16_k_up_q1_left.jpg	98
4051.261	0.76	correct	learning	LS4	h69_p20_i_down_left.jpg	97
4098.089	1.003	correct	learning	LS4	h30_p11_i_up_left.jpg	97
4144.916	0.751	correct	learning	LS4	h69_p34_k_down_q1_left.jpg	98
4191.743	0.85	correct	learning	LS4	h80_p16_i_down_right.jpg	97
4238.737	0.805	correct	learning	LS4	h60_p49_k_up_q4_left.jpg	98
4285.898	0.903	correct	learning	LS4	h30_p14_k_up_q2_right.jpg	98
4333.225	0.744	correct	learning	LS4	h60_p35_i_up_right.jpg	97
4380.553	0.778	correct	learning	LS4	h74_p12_i_up_right.jpg	97
4427.88	0.827	correct	learning	LS4	h80_p30_k_down_q2_right.jpg	98
4701.178	0.43	correct	learning	LS1	h51_p24_k_up_q3_right.jpg	98
4748.339	1.056	correct	learning	LS1	h75_p16_i_down_right.jpg	97
4795.499	1.202	correct	learning	LS1	h88_p35_k_down_q1_left.jpg	98
4842.66	0.836	correct	learning	LS1	h51_p17_i_up_left.jpg	97
4889.821	1.254	correct	learning	LS1	h84_p8_k_down_q3_right.jpg	98
4936.981	1.352	incorrect	learning	LS1	h56_p13_k_up_q2_right.jpg	97
