onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
2739.504	7.873	1	learning	LS1	PICTURE_695.jpg	c
2747.377	13.370	0	learning	LS1	PICTURE_53.jpg	i
2760.747	8.151	0	learning	LS1	PICTURE_703.jpg	c
2768.898	8.858	1	learning	LS1	PICTURE_53.jpg	c
2777.756	10.371	1	learning	LS1	PICTURE_703.jpg	i
2788.127	12.843	0	learning	LS1	PICTURE_220.jpg	i
2800.970	7.579	1	learning	LS2	PICTURE_695.jpg	c
2808.549	7.973	1	learning	LS2	PICTURE_220.jpg	c
2816.522	6.927	1	learning	LS2	PICTURE_216.jpg	c
2823.449	16.756	1	learning	LS2	PICTURE_703.jpg	i
2840.205	8.679	1	learning	LS2	PICTURE_53.jpg	c
2848.884	6.992	1	learning	LS2	PICTURE_216.jpg	i
2855.876	7.392	1	learning	LS2	PICTURE_703.jpg	c
2863.268	7.471	1	learning	LS2	PICTURE_220.jpg	i
2870.739	6.585	1	learning	LS2	PICTURE_695.jpg	i
2877.324	7.144	1	learning	LS2	PICTURE_53.jpg	i
2884.468	8.438	1	learning	LS3	PICTURE_53.jpg	c
2892.906	8.199	1	learning	LS3	PICTURE_216.jpg	c
2901.105	7.799	1	learning	LS3	PICTURE_695.jpg	i
2908.904	7.387	1	learning	LS3	PICTURE_216.jpg	i
2916.291	9.526	1	learning	LS3	PICTURE_703.jpg	i
2925.817	11.345	1	learning	LS3	PICTURE_220.jpg	i
2937.162	10.285	1	learning	LS3	PICTURE_703.jpg	c
2947.447	8.426	1	learning	LS3	PICTURE_53.jpg	i
2955.873	11.851	1	learning	LS3	PICTURE_220.jpg	c
2967.724	10.799	1	learning	LS3	PICTURE_695.jpg	c
2978.523	7.767	1	learning	LS4	PICTURE_216.jpg	i
2986.290	8.480	1	learning	LS4	PICTURE_695.jpg	c
2994.770	8.075	0	learning	LS4	PICTURE_220.jpg	i
3002.845	8.148	1	learning	LS4	PICTURE_216.jpg	c
3010.993	11.900	1	learning	LS4	PICTURE_703.jpg	c
3022.893	7.337	1	learning	LS4	PICTURE_53.jpg	c
3030.230	8.538	1	learning	LS4	PICTURE_220.jpg	c
3038.768	7.977	1	learning	LS4	PICTURE_695.jpg	i
3046.745	21.652	1	learning	LS4	PICTURE_53.jpg	i
3068.397	15.968	1	learning	LS4	PICTURE_703.jpg	i
